"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"cap_cat    ",1,0.705028730657014,0.705028730657014,17.7241526271122,2.70893258017914e-05
"Residuals  ",1466,58.3143319112559,0.0397778525997653,NA,NA
