"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"econlevel  ",1,0.442018253238678,0.442018253238678,9.48664830246822,0.00211774530631624
"Residuals  ",1176,54.7942170127084,0.0465937219495819,NA,NA
