"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"High Material Use - Low Material Use",-2.61759082813981,0.00442764589571007,0.00442764589571007
"High Material Use - Medium Material Use",-5.70892765133145,5.68451013219343e-09,1.70535303965803e-08
"Low Material Use - Medium Material Use",-5.17481963467667,1.14065625890115e-07,2.28131251780231e-07
