"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Feedstock  ",1,2.60995991735532,2.60995991735532,61.2485403855851,9.55869480312364e-15
"Residuals  ",1468,62.5553055559728,0.0426126059645591,NA,NA
