"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Technology.Lifetime",2,2.52846218217119,1.2642310910856,32.0505491952809,2.1730758488757e-14
"Residuals          ",1697,66.938015585959,0.0394449119540124,NA,NA
