"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"Both [3] - Firms [1]",-6.36483456597263,9.77501679954683e-11,1.95500335990937e-10
"Both [3] - Individuals [2]",-13.3314848652631,7.59224912675397e-41,2.27767473802619e-40
"Firms [1] - Individuals [2]",-5.92471678866104,1.56418031682082e-09,1.56418031682082e-09
