"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"Decades - Months",-6.23345525516849,2.28128859773729e-10,4.56257719547458e-10
"Decades - Years",6.04683700766346,7.38585306698837e-10,7.38585306698837e-10
"Months - Years",9.26864993851788,9.4258435345733e-21,2.82775306037199e-20
