"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Final.Material.Use",2,1.71872058198967,0.859360290994835,20.4498765686589,1.71523898917499e-09
"Residuals         ",1544,64.8831441520548,0.0420227617565121,NA,NA
