"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Broad.replacement",1,3.52922898446866,3.52922898446866,92.2582112950789,2.53006269270902e-21
"Residuals        ",1748,66.867676906503,0.0382538197405624,NA,NA
