"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Category.Type",10,10.2346906140796,1.02346906140796,29.5835631982133,5.22369518893053e-53
"Residuals    ",1739,60.1622152768919,0.0345958684743484,NA,NA
