"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Type.of.Adopter",2,4.26052426343051,2.13026213171525,56.2711151188345,2.07334528693946e-24
"Residuals      ",1747,66.1363816275413,0.0378571159859996,NA,NA
