"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"Complex [3] - Design-Intensive [2]",-6.48577614789225,4.4138075699569e-11,8.82761513991381e-11
"Complex [3] - Simple [1]",-9.67387916160008,1.94667146717896e-22,5.84001440153688e-22
"Design-Intensive [2] - Simple [1]",-2.37011602724911,0.00889125191196106,0.00889125191196106
