"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"Customized [3] - Mass-customized [2]",-8.170716114995,1.53282121748917e-16,3.06564243497834e-16
"Customized [3] - Standardized [1]",-12.4246397480164,9.60448937089332e-36,2.881346811268e-35
"Mass-customized [2] - Standardized [1]",-0.242871864661329,0.404052330913472,0.404052330913472
