"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"dem        ",1,583.047705821715,583.047705821715,1201.76902656175,8.30254764493715e-197
"Residuals  ",1597,774.797124586601,0.485157873880151,NA,NA
