"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Complexity ",2,828452.724548103,414226.362274052,211.833403512175,3.48741055829347e-82
"Residuals  ",1572,3073943.15862647,1955.43457927892,NA,NA
