"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"Complexity","Design-Intensive [2]-Simple [1]",0,-28.1688950107132,-34.3476827758776,-21.9901072455488,0
"Complexity","Complex [3]-Simple [1]",0,-56.2113497151001,-62.677561886765,-49.7451375434353,0
"Complexity","Complex [3]-Design-Intensive [2]",0,-28.042454704387,-34.9781185491965,-21.1067908595774,0
