"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"Complex [3] - Design-Intensive [2]",-8.7420890676965,1.14419480859474e-18,2.28838961718949e-18
"Complex [3] - Simple [1]",-17.0251033533143,2.67489665043387e-65,8.02468995130161e-65
"Design-Intensive [2] - Simple [1]",-8.00411688049128,6.01635306775594e-16,6.01635306775594e-16
