"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Low Material Use",0.02086128,0.09257534,0.13184623,0.21467577,0.23834995,0.98437264
"Medium Material Use",0.02936216,0.10010392,0.19798703,0.26993766,0.37328479,0.99946386
"High Material Use",0.02600969,0.08079089,0.11873277,0.16435371,0.18612170,0.94481380
