"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Simple [1]",0.02086128,0.11824944,0.19458917,0.25643625,0.33095036,0.97316961
"Design-Intensive [2]",0.03485185,0.10243617,0.15452339,0.25481569,0.34412745,0.98437264
"Complex [3]",0.02641175,0.07264183,0.11689327,0.18142069,0.21399781,0.99946386
