"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"No",0.02641175,0.09855482,0.16848133,0.26113691,0.35535194,0.99946386
"Yes",0.02936216,0.08678767,0.12035160,0.17161397,0.18499993,0.94648851
