"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Months",0.05131226,0.18776135,0.32618421,0.36513863,0.48800133,0.97316961
"Years",0.02600969,0.08784934,0.12984858,0.20817116,0.21648216,0.98437264
"Decades",0.02086128,0.10054428,0.19631143,0.24344188,0.31410029,0.99946386
