"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Firms [1]",0.02086128,0.09969359,0.16190294,0.23086516,0.28428850,0.95961665
"Individuals [2]",0.03155344,0.13498653,0.21959383,0.29189103,0.38263369,0.98437264
"Both [3]",0.02641175,0.07728386,0.11654048,0.17648016,0.18617025,0.99946386
