"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Low",0.02086128,0.08288240,0.12637576,0.18782925,0.22320477,0.99946386
"Medium",0.03478706,0.13817269,0.20910789,0.23843763,0.29109774,0.95324752
"High",0.03155344,0.10834489,0.19598706,0.31656200,0.49994852,0.98437264
