"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"No",0.02600969,0.11792000,0.22467166,0.28156498,0.37978148,0.97316961
"Yes",0.02086128,0.08994506,0.12829129,0.19166022,0.20459628,0.99946386
