"Group.1","x.Min.","x.1st Qu.","x.Median","x.Mean","x.3rd Qu.","x.Max."
"Standardized [1]",0.03155344,0.11369932,0.18705632,0.26411949,0.35151522,0.98437264
"Mass-customized [2]",0.03485185,0.10939107,0.19053248,0.26247364,0.33511558,0.95961665
"Customized [3]",0.02086128,0.06743329,0.10862283,0.15635563,0.18559564,0.99946386
